Voltage(V),Current(A),Throttle(%),Temperature(C),Motor RPM
39.90,15.84,25.60,26.64,10151.92
39.90,13.70,25.60,26.64,10187.45
39.55,13.70,24.40,26.64,10204.46
39.55,11.56,24.40,27.25,10140.13
39.55,11.56,24.40,27.25,10405.97
39.55,13.70,26.40,27.25,10635.93
39.55,13.70,24.80,26.64,10751.92
39.90,13.70,26.80,26.64,11425.18
39.55,15.84,25.60,26.64,10872.41
39.55,13.70,25.60,26.64,10319.89
39.55,11.56,23.60,26.64,10036.90
39.55,11.56,23.60,26.64,9653.30
39.55,11.56,23.60,26.64,9731.68
39.90,11.56,23.60,26.64,9916.40
39.90,13.70,23.60,26.64,10066.65
39.90,13.70,24.40,26.64,10226.65
39.90,11.56,24.40,26.64,10626.69
39.90,13.70,24.40,26.64,10446.88
39.90,11.56,24.80,26.64,10212.98
39.90,11.56,26.80,26.64,11207.31
39.55,13.70,27.60,26.64,11156.18
39.55,13.70,27.60,26.64,11350.92
39.55,15.84,27.60,26.64,10774.67
39.55,17.98,27.60,26.64,10470.14
39.55,17.98,26.80,26.64,10738.70
39.90,15.84,27.60,26.64,10757.60
39.90,11.56,25.60,26.64,10160.35
39.90,13.70,25.60,26.64,9942.21
39.90,15.84,24.40,26.64,9963.28
39.90,13.70,25.60,26.64,10375.95
39.90,13.70,25.60,26.64,10443.31
39.90,15.84,27.60,26.64,11071.31
39.90,15.84,28.80,26.64,11254.78
39.90,15.84,27.60,26.64,11292.20
39.90,17.98,26.80,26.64,10363.63
39.90,15.84,25.60,26.64,10064.99
39.90,11.56,26.80,26.03,10109.94
39.90,13.70,25.60,26.03,10027.02
39.55,13.70,24.80,26.03,9857.23
39.55,15.84,24.40,26.64,10038.54
39.55,13.70,24.40,26.03,9645.68
39.55,11.56,22.40,26.03,9299.36
39.55,11.56,23.60,26.03,9467.89
39.55,11.56,23.60,26.64,9247.31
39.55,11.56,23.60,26.03,9362.03
39.90,11.56,24.40,26.64,9583.68
39.90,13.70,24.80,26.03,9559.70
39.90,15.84,24.40,26.03,9552.23
39.90,15.84,26.80,26.03,9800.34
39.90,13.70,24.40,26.03,9376.39
39.55,13.70,25.60,26.03,9736.33
39.55,15.84,25.60,26.03,9716.21
39.55,15.84,24.40,26.64,9424.10
39.55,13.70,25.60,26.03,9714.67
39.55,15.84,25.60,26.03,9716.21
39.90,17.98,25.60,26.03,9759.65
39.55,15.84,25.60,26.03,9694.64
39.55,13.70,25.60,26.03,9667.04
39.55,11.56,23.60,26.03,9187.54
39.55,11.56,23.60,26.03,9190.30
39.55,11.56,21.60,25.42,9004.82
39.55,11.56,23.60,26.03,8998.19
39.55,11.56,23.60,26.03,9248.71
39.90,13.70,21.60,26.03,8786.07
39.90,15.84,22.80,26.03,9020.76
39.90,15.84,21.60,26.03,8728.36
39.55,11.56,21.60,25.42,8950.75
39.55,11.56,21.60,26.03,8743.34
39.55,11.56,21.60,26.03,8847.11
39.55,11.56,21.60,26.03,8822.85
39.55,11.56,21.60,26.03,8805.06
39.55,9.42,21.60,25.42,8825.40
39.55,9.42,22.80,26.03,9026.09
39.90,13.70,21.60,26.03,9026.09
39.90,13.70,23.60,26.03,9288.06
39.90,11.56,24.40,26.03,9484.05
39.55,11.56,24.40,26.03,9559.70
39.55,11.56,23.60,26.03,9332.01
39.55,11.56,23.60,26.03,9283.82
39.55,11.56,23.60,26.03,9326.32
39.55,11.56,22.40,26.03,8988.93
39.55,11.56,22.40,25.42,9011.45
39.55,11.56,22.40,26.03,9157.26
39.55,11.56,22.40,26.03,8945.51
39.55,13.70,22.40,26.03,9086.47
39.55,13.70,22.80,26.03,9128.54
